Symbol,Name,Entry_Price,Quantity,Target_1,Target_2,Current_SL,Setup,Entry_Date,Status,Entry_Notified,T1_Notified,T2_Notified,SL_Notified,Entry_Hit_Date,T1_Hit_Date,T2_Hit_Date,SL_Hit_Date,Outcome,Closing_Price,Buy_Weekly_Trend,Buy_Base_Days,Buy_Base_Status,Buy_False_Breakout_Risk,Buy_False_Breakout_Desc,Buy_RSI,Buy_ATR_Pct,Buy_Vol_Ratio
JAIBALAJI,Jai Balaji Industries Limited,78.23,1,88.5,91.16,74.91,PULLBACK,2026-05-14,CLOSED,True,False,False,True,2026-05-15,,,2026-05-18,SL_LOSS,73.7,,,,,,,,
HSCL,Himadri Speciality Chemical Limited,578.02,1,654.45,680.47,551.17,PULLBACK,2026-05-14,CLOSED,True,False,False,True,2026-05-18,,,2026-05-18,SL_LOSS,551.1500244140625,,,,,,,,
LICHSGFIN,Lic Housing Finance Limited,556.22,1,598.2,610.16,545.66,PULLBACK,2026-05-14,CLOSED,True,False,False,True,2026-05-15,,,2026-05-18,SL_LOSS,539.2000122070312,,,,,,,,
WOCKPHARMA,Wockhardt Limited,1599.8,1,1778.0,1813.56,1417.35,PULLBACK,2026-05-21,BOUGHT,False,False,False,False,,,,,,0.0,BULLISH,13.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,66.33,5.4,0.26
NITCO,Nitco Limited,97.18,1,110.05,112.25,89.59,PULLBACK,2026-05-21,BOUGHT,True,False,False,False,2026-05-18,,,,,0.0,BULLISH,12.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,59.9,6.56,0.34
DIACABS,Diamond Power Infrastructure Ltd,193.8,1,184.75,190.95,155.12,PULLBACK,2026-05-21,CLOSED,False,True,True,False,,2026-05-23,2026-05-23,,T2_WIN,193.5,BULLISH,6.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,73.85,5.96,0.73
MOSCHIP,Moschip Technologies Ltd,201.55,1,236.7,241.43,195.25,PULLBACK,2026-05-21,BOUGHT,True,False,False,False,2026-05-15,,,,,0.0,BULLISH,9.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,50.06,6.11,0.79
CIPLA,Cipla Limited,1401.9,1,1432.1,1460.74,1280.25,PULLBACK,2026-05-21,BOUGHT,False,False,False,False,,,,,,0.0,BULLISH,21.0,STABLE_BASE,LOW,Low risk. Price action is stable.,64.72,2.63,0.55
PARACABLES,Paramount Communications Limited,57.17,1,60.9,62.12,42.69,PULLBACK,2026-05-21,CLOSED,False,True,True,False,,2026-05-25,2026-05-25,,T2_WIN,65.3499984741211,BULLISH,10.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,72.17,7.89,0.55
NIVABUPA,Niva Bupa Health Insurance Company Ltd,83.62,1,89.77,91.57,76.75,PULLBACK,2026-05-21,BOUGHT,False,False,False,False,,,,,,0.0,BULLISH,26.0,STABLE_BASE,LOW,Low risk. Price action is stable.,66.26,3.65,0.89
JSFB,Jana Small Finance Bank Ltd,453.25,1,501.0,520.75,423.31,PULLBACK,2026-05-22,BOUGHT,,,,,,,,,,0.0,BULLISH,21.0,STABLE_BASE,LOW,Low risk. Price action is stable.,48.29,4.92,0.28
MIDHANI,Mishra Dhatu Nigam Ltd,402.35,1,438.7,447.47,370.05,PULLBACK,2026-05-21,BOUGHT,True,,,,2026-05-20,,,,,0.0,BULLISH,24.0,STABLE_BASE,LOW,Low risk. Price action is stable.,54.36,5.0,0.71
METROPOLIS,Metropolis Healthcare Ltd,528.8,1,574.9,586.4,483.16,PULLBACK,2026-05-21,BOUGHT,,,,,,,,,,0.0,BULLISH,13.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,66.68,5.3,0.5
SCI,Shipping Corporation Of India Limited,327.25,1,368.75,376.12,289.83,PULLBACK,2026-05-21,BOUGHT,,,,,,,,,,0.0,BULLISH,14.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,60.02,5.99,0.26
SAIL,Steel Authority Of India Limited,196.53,1,202.35,206.4,174.84,PULLBACK,2026-05-21,BOUGHT,,True,,,,2026-05-26,,,T1_HIT,0.0,BULLISH,7.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,59.98,3.84,0.69
SPARC,Sun Pharma Advanced Research Company Limited,183.68,1,182.59,186.24,142.64,PULLBACK,2026-05-22,CLOSED,,True,True,,,2026-05-23,2026-05-23,,T2_WIN,209.7700042724609,BULLISH,2.0,VOLATILE,LOW,Low risk. Price action is stable.,76.62,5.74,1.43
GNFC,Gujarat Narmada Valley Fertilizers And Chemicals Limited,520.45,1,506.7,516.83,461.29,PULLBACK,2026-05-22,CLOSED,,True,True,False,,2026-05-25,2026-05-25,,T2_WIN,517.2999877929688,BULLISH,6.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,64.59,3.52,1.26
AEROFLEX,Aeroflex Industries Ltd,391.05,1,458.7,467.87,305.52,PULLBACK,2026-05-22,BOUGHT,,,,,,,,,,0.0,BULLISH,8.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,67.16,7.71,0.5
ALKYLAMINE,Alkyl Amines Chemicals Limited,1776.6,1,1785.0,1820.7,1489.89,PULLBACK,2026-05-22,BOUGHT,,,,,,,,,,0.0,BULLISH,11.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,67.49,5.5,0.46
VIYASH,Viyash Scientific Ltd,247.54,1,235.4,241.32,204.57,PULLBACK,2026-05-22,CLOSED,,True,True,,,2026-05-23,2026-05-23,,T2_WIN,246.0599975585937,BULLISH,7.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,72.41,5.31,1.15
RATNAVEER,Ratnaveer Precision Engineering Ltd,164.24,1,193.39,202.36,153.61,PULLBACK,2026-05-15,OPEN,,,,,,,,,,0.0,,,,,,,,
TEXRAIL,Texmaco Rail & Engineering Limited,107.03,1,124.73,127.22,102.97,PULLBACK,2026-05-15,OPEN,True,False,False,False,2026-05-20,,,,,0.0,,,,,,,,
HAL,Hindustan Aeronautics Ltd,4418.11,1,4836.3,4933.03,4347.4,PULLBACK,2026-05-15,CLOSED,True,,,True,2026-05-15,,,2026-05-18,SL_LOSS,4248.89990234375,,,,,,,,
INDOAMIN,Indo Amines Ltd,113.56,1,125.8,128.32,110.3,PULLBACK,2026-05-15,OPEN,,False,False,False,,,,,,0.0,,,,,,,,
TATACONSUM,TATA Consumer Products Ltd,1168.83,1,1282.7,1308.35,1148.46,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
SANDUMA,Sandur Manganese & Iron Ores Ltd,226.5,1,253.9,258.98,208.01,PULLBACK,2026-05-23,BOUGHT,True,,,,2026-05-18,,,,,,BULLISH,11.0,CONSOLIDATING,LOW,Low risk. Price action is stable.,59.13,5.12,0.5
SAILIFE,Sai Life Sciences Ltd,1056.34,1,1139.4,1195.77,1023.2,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
SUNPHARMA,Sun Pharmaceuticals Industries Limited,1844.6,1,1887.9,1925.66,1760.04,PULLBACK,2026-05-24,BOUGHT,,,,,,,,,,,BULLISH,20.0,STABLE_BASE,LOW,Low risk. Price action is stable.,53.54,2.15,0.73
ADANIPORTS,Adani Ports And Special Economic Zone Limited,1664.14,1,1823.9,1860.38,1628.99,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
ONGC,Oil & Natural Gas Corporation Limited,287.4,1,307.5,314.12,282.12,PULLBACK,2026-05-16,OPEN,True,,,,2026-05-25,,,,,,,,,,,,,
OIL,Oil India Limited,478.24,1,531.0,541.62,465.96,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
NLCINDIA,Nlc India Limited,316.94,1,387.8,395.56,302.95,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
MANAPPURAM,Manappuram Finance Limited,294.86,1,317.7,327.04,287.86,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
KANSAINER,Kansai Nerolac Paints Limited,204.98,1,224.45,230.06,199.21,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
IOLCP,Iol Chemicals And Pharmaceuticals Limited,96.52,1,116.46,118.79,92.28,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
HINDZINC,Hindustan Zinc Limited,632.25,1,678.25,691.82,598.8,PULLBACK,2026-05-24,BOUGHT,,,,,,,,,,,BULLISH,20.0,STABLE_BASE,LOW,Low risk. Price action is stable.,60.77,3.02,0.55
GRASIM,Grasim Industries Limited,2834.97,1,3007.3,3067.45,2792.45,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
GRAPHITE,Graphite India Limited,716.38,1,802.4,818.45,694.07,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
BHEL,Bharat Heavy Electricals Limited,365.15,1,417.9,426.26,352.1,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
PPLPHARMA,Piramal Pharma Ltd,165.92,1,196.44,200.37,159.09,PULLBACK,2026-05-16,OPEN,,,,,,,,,,,,,,,,,,
GESHIP,The Great Eastern Shipping Company Limited,1509.42,1,1720.0,1754.4,1448.3,PULLBACK,2026-05-18,OPEN,True,,,,2026-05-28,,,,,,,,,,,,,
MUKANDLTD,Mukand Limited,135.77,1,150.62,153.63,132.05,PULLBACK,2026-05-19,OPEN,,,,,,,,,,,,,,,,,,
POLICYBZR,PB Fintech Ltd,1622.83,1,1735.0,1798.51,1584.76,PULLBACK,2026-05-19,OPEN,,,,,,,,,,,,,,,,,,
V2RETAIL,V2 Retail Limited,211.02,1,241.5,246.33,202.51,PULLBACK,2026-05-20,OPEN,,,,,,,,,,,,,,,,,,
MARICO,Marico Limited,801.02,1,848.8,865.78,789.0,PULLBACK,2026-05-20,OPEN,,,,,,,,,,,,,,,,,,
MUFIN,Mufin Green Finance Ltd,115.09,1,123.0,126.76,109.64,CONSOLIDATION,2026-05-22,OPEN,,,,,,,,,,,,,,,,,,
MCX,Multi Commodity Exchange Of India Limited,3124.11,1,3480.0,3549.6,2785.03,CONSOLIDATION,2026-05-22,OPEN,,,,,,,,,,,,,,,,,,
BLISSGVS,Bliss Gvs Pharma Limited,275.46,1,301.45,316.15,243.43,CONSOLIDATION,2026-05-22,OPEN,,,,,,,,,,,,,,,,,,
